# Neutron Star
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
0 0 -0.2216403732325538389 -30.92965286049845375 1.570107945624801348e-14 0.06457817416087516249 -0.003517743824646664148 2.512172712999682156e-13
1 0.0625 -0.2175999605540417381 -30.92987115196645576 3.19744728308587786e-14 0.0646466028561934053 -0.003492663488021769715 2.603742939937722419e-13
2 0.125 -0.2135528255602845982 -30.93008800152835391 4.883144094289354926e-14 0.06475415990011409995 -0.00346959299039709514 2.697114897925563307e-13
3 0.1875 -0.209496575260828044 -30.93030353104678554 6.628528735520948481e-14 0.06490000479130475508 -0.003448472294926754628 2.792615425970550192e-13
4 0.25 -0.2054288668471758728 -30.93051785934365938 8.43518095387539161e-14 0.0650833346184348932 -0.003429252749997388668 2.890643549367108502e-13
5 0.3125 -0.2013474081026143114 -30.93073110170942286 1.030451814222277936e-13 0.06530333991298491181 -0.003411877852213159208 2.990939501355820403e-13
6 0.375 -0.1972499619602613163 -30.93094336853942039 1.223774170994449506e-13 0.06555913827764806023 -0.00339626927997357898 3.093157708354743608e-13
7 0.4375 -0.1931343360196412784 -30.93115476595551883 1.423578876106770119e-13 0.06585001504992059329 -0.003382358657594457859 3.196875281797131818e-13
8 0.5 -0.1889983572639901133 -30.9313653829941444 1.629925578913689072e-13 0.06617566009041864206 -0.003369872617990035332 3.30154724491070376e-13
9 0.5625 -0.1848399055961596205 -30.93157536581024303 1.842903146789906775e-13 0.06653522668528781547 -0.003359725057577787628 3.407641086019483251e-13
10 0.625 -0.1806570027633264408 -30.93178486532129767 2.062631933389332887e-13 0.06692644532533108259 -0.003351992176863384434 3.515660585590818802e-13
11 0.6875 -0.1764477562945775402 -30.93199390270681448 2.289110634253129285e-13 0.06734794349998246554 -0.003344598168280672225 3.623659213820742361e-13
12 0.75 -0.1722102123243209881 -30.93220257281194918 2.522351168359005315e-13 0.06780070352410476342 -0.003338721682172806748 3.731848545694018999e-13
13 0.8125 -0.1679424914392292356 -30.93241095598577317 2.762389841487938821e-13 0.06828353416146801247 -0.003334130781209263331 3.84061877006293308e-13
14 0.875 -0.1636427245375219885 -30.93261913486164616 3.009298763471072884e-13 0.0687962704273159531 -0.003330862013992919642 3.950542751730147528e-13
15 0.9375 -0.1593090835629417668 -30.93282719813607429 3.262988924312494366e-13 0.06933825559328372912 -0.003329012390826305463 4.059042573462747245e-13
16 1 -0.154939705027377167 -30.93303528036894434 3.523645645673280495e-13 0.06991005656903367949 -0.003329315725930027687 4.170507541772581593e-13
17 1.0625 -0.1505328358851867609 -30.93324350779124643 3.791426800542827787e-13 0.07050990627504656605 -0.003331638756849155444 4.284498477912755673e-13
18 1.125 -0.1460868196689673881 -30.93345197525129819 4.066477774642958155e-13 0.07113625945950990959 -0.003335479360836908231 4.400815585602085885e-13
