# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
13 0.8125 -0.2256770503055894606 9.070582239806686431 4.735718201482269601e-13 -9.209387631450751121e-06 7.582473673782962205e-05 2.295297807619431704e-12
14 0.875 -0.2256779310417438567 9.070588620470037 6.678490389911853862e-13 -1.409177847050479559e-05 0.0001020906136233116069 3.108435501487335221e-12
15 0.9375 -0.2256792014436968807 9.070597053030422074 9.255850572533986292e-13 -2.032643124840803161e-05 0.0001349209661701950805 4.12377629219541108e-12
16 1 -0.2256809627903629822 9.070608008490134821 1.260509487941582125e-12 -2.81815466577888397e-05 0.0001752873554007858855 5.358790891010935128e-12
17 1.0625 -0.2256833384231254624 9.070622016012819699 1.687430374249966121e-12 -3.801012419957475495e-05 0.0002241203629557165231 6.830734180934142321e-12
18 1.125 -0.2256864812411965016 9.070639655817730684 2.222199395573212917e-12 -5.028508913663833448e-05 0.0002822368785713303243 8.556304341171950344e-12
19 1.1875 -0.225690583362505276 9.070661546797460062 2.881541530892377402e-12 -6.563394094026224316e-05 0.0003502556756644775466 1.054947416510663015e-11
20 1.25 -0.2256958874485605893 9.070688328540162715 3.682700067245638254e-12 -8.486537688480783504e-05 0.0004285078832564552889 1.281853658165216717e-11
21 1.3125 -0.2257026986930314172 9.070720638017919057 4.642920497390382954e-12 -0.0001089799115330354281 0.0005169516440974654447 1.536352688231592166e-11
22 1.375 -0.2257113960257324248 9.070759081932324719 5.778838606102292366e-12 -0.0001391573232161777223 0.0006151026305018989209 1.81746897393905506e-11
23 1.4375 -0.2257224407721654114 9.070804206513349399 7.105839734598482846e-12 -0.0001767159429276670768 0.0007219932963994274465 2.123201805593904767e-11
24 1.5 -0.2257363809236996588 9.070856467313113569 8.637439931996762097e-12 -0.0002230424245479669689 0.0008361727962173657377 2.450560315837247771e-11
25 1.5625 -0.2257538493906251498 9.070916202049041033 1.038471620134916311e-11 -0.0002794954708077034716 0.0009557557748525964464 2.795642030963840332e-11
26 1.625 -0.2257755551623885637 9.070983609663668901 1.235580941445344245e-11 -0.0003472923482145442433 0.001078521834048806185 3.153749140966846944e-11
27 1.6875 -0.2258022671494708811 9.071058738374173203 1.455552707620863023e-11 -0.0004273917933172962421 0.001202059368082176614 3.519548258808301741e-11
28 1.75 -0.2258347915136303952 9.071141484578923553 1.698508331791056017e-11 -0.0005203898265520221465 0.001323939276007750398 3.887289986723089837e-11
29 1.8125 -0.2258739443283217241 9.07123160318551669 1.964200894691058142e-11 -0.0006264450350611592677 0.001441897705492912064 4.251081006400034642e-11
30 1.875 -0.2259205222452502215 9.071328728442011879 2.252025397840283905e-11 -0.0007452466708558548895 0.001554004103935829016 4.605192050387614797e-11
31 1.9375 -0.2259752742981807339 9.071432402962290809 2.561047844198923e-11 -0.0008760328468879884523 0.001658792324464766982 4.944359141738226813e-11
32 2 -0.2260388779450563379 9.071542111598922986 2.890050329231800089e-11 -0.001017658350009744772 0.001755338186124399047 5.264039760526033431e-11
33 2.0625 -0.2261119219269430713 9.071657316318962216 3.237587610913575401e-11 -0.00116870371018781968 0.001843275520638920336 5.560596506908405634e-11
34 2.125 -0.2261948976009666989 9.071777488348192975 3.602049900870608168e-11 -0.001327610784378019469 0.001922752467699331532 5.831396639312520389e-11
35 2.1875 -0.2262881992522740027 9.071902134512416893 3.981727158281362938e-11 -0.001492826420917073814 0.001994338627585687859 6.074836118572078917e-11
36 2.25 -0.2263921327117451865 9.07203081576016146 4.374870725323273747e-11 -0.001662935351538906426 0.00205889996392102188 6.290297072670578104e-11
37 2.3125 -0.2265069305969259206 9.072163157087944185 4.779749542821230747e-11 -0.001836766162891609148 0.002117461244523480626 6.478061079967308132e-11
38 2.375 -0.2266327717978798562 9.072298849291451361 5.194698374562868428e-11 -0.002013459215262892142 0.002171075256115399896 6.639181307866205476e-11
39 2.4375 -0.2267698025271159268 9.072437643950737041 5.618156398932711298e-11 -0.002192491667777005538 0.00222071454856247099 6.775328389917489793e-11
40 2.5 -0.2269181563522336686 9.072579343702859234 6.048694660821715174e-11 -0.00237366120188393882 0.002267196033955502007 6.888612190224054268e-11
41 2.5625 -0.2270779710781554717 9.072723790107884767 6.485031814243056596e-11 -0.002557035614749016486 0.002311142480397360317 6.981394454741461457e-11
42 2.625 -0.2272494010422663746 9.07287085128702131 6.926038925400662889e-11 -0.002742879425774556387 0.00235297886619127445 7.056113778521698102e-11
43 2.6875 -0.2274326242010651367 9.073020411075482627 7.37073530493172451e-11 -0.00293157054078005885 0.002392956615390502782 7.115142072496984645e-11
44 2.75 -0.2276278441833111121 9.073172360800727532 7.818278863535458706e-11 -0.003123519715935428511 0.00243119560391893974 7.160696937659748429e-11
45 2.8125 -0.2278352881379779316 9.073326594104866416 8.267954383144015996e-11 -0.003319103274669229098 0.002467732866221163199 7.194808313736916644e-11
46 2.875 -0.2280552016259827508 9.073483004611228253 8.719162352460692525e-11 -0.003518615808077216363 0.002502568101798121301 7.219327509066832219e-11
47 2.9375 -0.2282878419532666514 9.073641485793176642 9.171409049254295881e-11 -0.003722245236542360246 0.002535698911175629164 7.235947148697660157e-11
48 3 -0.2285334712358083054 9.073801932191798869 9.624296491600338344e-11 -0.003930068520666608022 0.002567142377963050302 7.246199077536672934e-11
49 3.0625 -0.2287923501894548739 9.073964241143089637 1.007751042642919517e-10 -0.004142063258344991748 0.002596943220652086874 7.251422957261717038e-11
50 3.125 -0.2290647332431632044 9.074128314359040104 1.053080442995866372e-10 -0.004358128859333166433 0.002625171455221091219 7.252704056471491607e-11
51 3.1875 -0.2293508651810854393 9.074294058976255073 1.098398089459916121e-10 -0.004578111006755708999 0.002651913875429224004 7.250823434247968786e-11
52 3.25 -0.2296509792037231268 9.074461387954000813 1.143687153235647277e-10 -0.004801824362203058021 0.00267726364392943195 7.246250204116977207e-11
53 3.3125 -0.2299652961043304189 9.074630219907509954 1.188932128607937514e-10 -0.005029070409716807424 0.002701311256137636785 7.239196059566431584e-11
54 3.375 -0.2302940241901247076 9.074800478574806206 1.234117878386121657e-10 -0.005259649372708485524 0.002724138676727525226 7.22971996450944336e-11
55 3.4375 -0.2306373595930338027 9.074972092131538659 1.279229410572949179e-10 -0.005493366446545697515 0.002745816907706406882 7.217845149892390682e-11
56 3.5 -0.2309954867080065422 9.075144992523219045 1.324252131410038417e-10 -0.005730033839563792447 0.002766406266897473206 7.2036353339342832e-11
57 3.5625 -0.2313685785955030549 9.075319114913691365 1.369172186663530369e-10 -0.005969470199944034577 0.002785958247568847204 7.187208840558704609e-11
58 3.625 -0.2317567972728868664 9.075494397279587844 1.413976510001705466e-10 -0.006211498838141200733 0.002804517854340861371 7.168691734108020705e-11
59 3.6875 -0.2321602938818421169 9.075670780132584881 1.458652463463681215e-10 -0.006455945743283984101 0.002822125647966157707 7.148152553916132815e-11
60 3.75 -0.2325792087540711761 9.075848206329393264 1.503187239433037913e-10 -0.006702637955664917865 0.002838819148941846941 7.125564155097083295e-11
61 3.8125 -0.2330136714114412755 9.07602662092879342 1.547567367919421434e-10 -0.006951402517921782473 0.002854633590396521252 7.100820557821356869e-11
62 3.875 -0.2334638005375581915 9.076205971066412914 1.591778692205488055e-10 -0.00720206601787043519 0.002869602201925467409 7.073811885770652919e-11
63 3.9375 -0.2339297039522108823 9.076386205832209342 1.635806832984108915e-10 -0.007454454634443258461 0.002883756252748561136 7.044502524579342678e-11
64 4 -0.2344114786122903638 9.076567276146871421 1.679637985903531576e-10 -0.007708394561271912984 0.002897125034587231043 7.012984467107636192e-11
65 4.0625 -0.2349092106546510905 9.076749134639518601 1.723259635376252025e-10 -0.007963712677771428786 0.002909735882349850401 6.979463915635262742e-11
66 4.125 -0.2354229754886182635 9.076931735530694212 1.766660850188337176e-10 -0.008220237343474550915 0.002921614258799252756 6.94419436993362156e-11
67 4.1875 -0.2359528379390281316 9.077115034523817627 1.809832038411289446e-10 -0.008477799206557673148 0.002932783889971050419 6.907390115672380082e-11
68 4.25 -0.2364988524356634592 9.077298988706749228 1.85276435435418332e-10 -0.008736231946165122497 0.002943266926917672763 6.869170550863037899e-11
69 4.3125 -0.2370610632398555129 9.077483556461327652 1.895449044266031621e-10 -0.008995372867072675555 0.00295308407325365176 6.829550385895725466e-11
