# 1:iter 2:time 3:mass 4:Sx 5:Sy 6:Sz 7:S 8:area 9:hrms 10:hmean 11:meanradius 12:minradius
4 0.47 1.031316242149622e+00 4.248014106593046e-11 3.776988460780501e-10 4.993860715985784e-01 4.993860715985784e-01 5.033337482109728e+01 3.191146257361780e-04 -1.623194033120014e-01 5.447884362048232e-01 5.443797623447747e-01
4 0.48 1.031326420191358e+00 4.759739703156040e-11 3.836505032140603e-10 4.993636056576261e-01 4.993636056576261e-01 5.033480028233443e+01 3.199775771465638e-04 -1.616761577914659e-01 5.453375520888299e-01 5.449273302989025e-01
4 0.49 1.031336309594110e+00 5.298349920769400e-11 3.893056126290209e-10 4.993406834647087e-01 4.993406834647087e-01 5.033619990563539e+01 3.209263556966012e-04 -1.611469673591258e-01 5.458848380767797e-01 5.454730569664995e-01
4 0.5 1.031345933124800e+00 5.863906160667042e-11 3.946612478061393e-10 4.993173120281132e-01 4.993173120281132e-01 5.033757611280791e+01 3.219583785645947e-04 -1.607148238802596e-01 5.464306106940177e-01 5.460172591631534e-01
4 0.51 1.031355310794221e+00 6.456442538215325e-11 3.997142586771143e-10 4.992934980502509e-01 4.992934980502509e-01 5.033893102509507e+01 3.230714891332745e-04 -1.603652095425540e-01 5.469751393297324e-01 5.465602065634426e-01
4 0.52 1.031364460205448e+00 7.075949723441264e-11 4.044611754330542e-10 4.992692479485636e-01 4.992692479485636e-01 5.034026650140569e+01 3.242638772570915e-04 -1.600857244415701e-01 5.475186530954060e-01 5.471021285664395e-01
4 0.53 1.031373396857857e+00 7.722388603367841e-11 4.088982086188569e-10 4.992445678745581e-01 4.992445678745581e-01 5.034158417166540e+01 3.255340143203862e-04 -1.598657706530533e-01 5.480613466634158e-01 5.476432201395081e-01
4 0.54 1.031382134411967e+00 8.395676327008405e-11 4.130213301555439e-10 4.992194637313029e-01 4.992194637313029e-01 5.034288546585663e+01 3.268806001051585e-04 -1.596962841652792e-01 5.486033852397303e-01 5.481836467946292e-01
4 0.55 1.031390684919708e+00 9.095688899622679e-11 4.168264092181543e-10 4.991939411895476e-01 4.991939411895476e-01 5.034417163925686e+01 3.283025191296971e-04 -1.595695073933261e-01 5.491449088013619e-01 5.487235488281060e-01
4 0.56 1.031399059024291e+00 9.822253087494825e-11 4.203093456097212e-10 4.991680057025185e-01 4.991680057025185e-01 5.034544379433401e+01 3.297988046132245e-04 -1.594787961223206e-01 5.496860357095139e-01 5.492630449348026e-01
4 0.57 1.031407266133347e+00 1.057513740518603e-10 4.234663285609478e-10 4.991416625193466e-01 4.991416625193466e-01 5.034670289970553e+01 3.313686086078926e-04 -1.594184556698396e-01 5.502268657926510e-01 5.498022352912967e-01
4 0.58 1.031415314568628e+00 1.135406010807211e-10 4.262940155581978e-10 4.991149166970505e-01 4.991149166970505e-01 5.034794980652666e+01 3.330111771380642e-04 -1.593836018451673e-01 5.507674829795177e-01 5.503412041881259e-01
4 0.59 1.031423211695192e+00 1.215866101638008e-10 4.287897435726946e-10 4.990877731109550e-01 4.990877731109550e-01 5.034918526263132e+01 3.347258294226144e-04 -1.593700429460998e-01 5.513079575500397e-01 5.508800222792095e-01
4 0.6 1.031430964032675e+00 1.298851359531813e-10 4.309516931806660e-10 4.990602364634451e-01 4.990602364634451e-01 5.035040992471522e+01 3.365119404416376e-04 -1.593741795899194e-01 5.518483480617363e-01 5.514187485061990e-01
4 0.61 1.031438577350987e+00 1.384312042457489e-10 4.327790398568265e-10 4.990323112909856e-01 4.990323112909856e-01 5.035162436882069e+01 3.383689262996574e-04 -1.593929197500129e-01 5.523887030008097e-01 5.519574317470273e-01
4 0.62 1.031446056752462e+00 1.472189719522535e-10 4.342720340941496e-10 4.990040019693669e-01 4.990040019693669e-01 5.035282909934750e+01 3.402962318293935e-04 -1.594236064062430e-01 5.529290621987434e-01 5.524961122296610e-01
4 0.63 1.031453406742262e+00 1.562417682013003e-10 4.354320224659518e-10 4.989753127172140e-01 4.989753127172140e-01 5.035402455678894e+01 3.422933199654035e-04 -1.594639558790141e-01 5.534694580488447e-01 5.530348227456127e-01
4 0.64 1.031460631288798e+00 1.654922062381130e-10 4.362614683394929e-10 4.989462475977686e-01 4.989462475977686e-01 5.035521112438656e+01 3.443596629426104e-04 -1.595120055802336e-01 5.540099165533310e-01 5.535735896937874e-01
4 0.65 1.031467733875567e+00 1.749620582397596e-10 4.367638590989111e-10 4.989168105191553e-01 4.989168105191553e-01 5.035638913385700e+01 3.464947347883566e-04 -1.595660692839194e-01 5.545504582252850e-01 5.541124339792016e-01
4 0.66 1.031474717545709e+00 1.846424000907202e-10 4.369436703912273e-10 4.988870052333065e-01 4.988870052333065e-01 5.035755887033189e+01 3.486980049685771e-04 -1.596246988167737e-01 5.550910988662592e-01 5.546513717874104e-01
4 0.67 1.031481584940430e+00 1.945237160692950e-10 4.368061985089083e-10 4.988568353337924e-01 4.988568353337924e-01 5.035872057663393e+01 3.509689330425325e-04 -1.596866511405154e-01 5.556318502369848e-01 5.551904152521776e-01
4 0.68 1.031482682045431e+00 2.049785951218296e-10 4.363119587887485e-10 4.988197356754576e-01 4.988197356754576e-01 5.035933679538749e+01 3.490828555949896e-04 -1.572619317958756e-01 5.561727206360870e-01 5.557295730313248e-01
4 0.69 1.031483121035178e+00 2.156642997967999e-10 4.356601536376391e-10 4.987816484531167e-01 4.987816484531167e-01 5.035989338538562e+01 3.468630272146578e-04 -1.545932864953367e-01 5.567137153608926e-01 5.562688507690693e-01
4 0.7 1.031482750751031e+00 2.265757158795481e-10 4.347921263743061e-10 4.987432546113755e-01 4.987432546113755e-01 5.036036455334926e+01 3.456556150220095e-04 -1.523147000884792e-01 5.572475010199982e-01 5.568017705984796e-01
4 0.71 1.031481604702993e+00 2.375642555042666e-10 4.337046539663129e-10 4.987045352238021e-01 4.987045352238021e-01 5.036075425794345e+01 3.445869657997110e-04 -1.503557742011477e-01 5.577747173559092e-01 5.573281715076499e-01
4 0.72 1.031479753889131e+00 2.486128147158384e-10 4.323956370808131e-10 4.986654874541169e-01 4.986654874541169e-01 5.036107038716094e+01 3.436021117740546e-04 -1.486675041869489e-01 5.582962696670308e-01 5.578489153278796e-01
4 0.73 1.031477260248480e+00 2.597104271383289e-10 4.308642160940016e-10 4.986261100807774e-01 4.986261100807774e-01 5.036131980581189e+01 3.426925062844293e-04 -1.472097995913610e-01 5.588129300107378e-01 5.583647741958879e-01
4 0.74 1.031474177416063e+00 2.708458440881762e-10 4.291102734704271e-10 4.985864024235617e-01 4.985864024235617e-01 5.036150845333105e+01 3.418510252857160e-04 -1.459485484702715e-01 5.593253569809907e-01 5.588764067214518e-01
4 0.75 1.031470551830523e+00 2.820075671904207e-10 4.271343146459311e-10 4.985463642432535e-01 4.985463642432535e-01 5.036164146758423e+01 3.410717010690518e-04 -1.448547163295449e-01 5.598341125236664e-01 5.593843748132291e-01
4 0.76 1.031466423888175e+00 2.931836964142355e-10 4.249376264837604e-10 4.985059963632140e-01 4.985059963632140e-01 5.036172330417952e+01 3.403495077965503e-04 -1.439035839700295e-01 5.603396762384057e-01 5.598891579883614e-01
4 0.77 1.031461829013181e+00 3.043609027058237e-10 4.225217702135809e-10 4.984653014609139e-01 4.984653014609139e-01 5.036175784424243e+01 3.396801877728113e-04 -1.430740924735737e-01 5.608424575163332e-01 5.603911655202992e-01
4 0.78 1.031456797430150e+00 3.155259398582625e-10 4.198882419756030e-10 4.984242804603720e-01 4.984242804603720e-01 5.036174841739609e+01 3.390601347879022e-04 -1.423483010329737e-01 5.613428059079932e-01 5.608907468080961e-01
4 0.79 1.031451355279296e+00 3.266656191237625e-10 4.170387515672082e-10 4.983829342665053e-01 4.983829342665053e-01 5.036169790192685e+01 3.384862705414229e-04 -1.417109223921686e-01 5.618410199451254e-01 5.613882002022966e-01
4 0.8 1.031445525215900e+00 3.377660301863012e-10 4.139750922894993e-10 4.983412639179990e-01 4.983412639179990e-01 5.036160878902914e+01 3.379559529854418e-04 -1.411489199900879e-01 5.623373546282926e-01 5.618837804987975e-01
4 0.81 1.031439369742879e+00 3.488199328935111e-10 4.109541155859716e-10 4.982996165651142e-01 4.982996165651142e-01 5.036148336252413e+01 3.374661931719686e-04 -1.406537589895301e-01 5.628320277984776e-01 5.623777053143920e-01
4 0.82 1.031433696711162e+00 3.595136611048076e-10 4.074839749651587e-10 4.982643202470539e-01 4.982643202470539e-01 5.036132660604353e+01 3.370070633577869e-04 -1.402460863029622e-01 5.633253057730229e-01 5.628702523958166e-01
4 0.83 1.031427609192908e+00 3.699446964170138e-10 4.039839579512196e-10 4.982286826088020e-01 4.982286826088020e-01 5.036112855911085e+01 3.365135431077958e-04 -1.398387382229497e-01 5.638173778914970e-01 5.633616051840389e-01
4 0.84 1.031416906972702e+00 3.796375635096235e-10 4.000580820402250e-10 4.981919816477401e-01 4.981919816477401e-01 5.036043462668069e+01 3.328355895287082e-04 -1.375853273914076e-01 5.643083677678439e-01 5.638518816674849e-01
4 0.85 1.031405913822590e+00 3.892209715274927e-10 3.959268474738639e-10 4.981549593400811e-01 4.981549593400811e-01 5.035971280967366e+01 3.291991267134344e-04 -1.353630391691981e-01 5.647983811678485e-01 5.643411872934962e-01
4 0.86 1.031394569843438e+00 3.986686152165083e-10 3.916010284464848e-10 4.981176146828776e-01 4.981176146828776e-01 5.035895650248915e+01 3.257060046361118e-04 -1.332061538138861e-01 5.652868174073856e-01 5.648291014155933e-01
4 0.87 1.031382415554974e+00 4.078710152557585e-10 3.871312528040168e-10 4.980799291008611e-01 4.980799291008611e-01 5.035811517440715e+01 3.229562883511809e-04 -1.313680044918236e-01 5.657691269535423e-01 5.653121273256698e-01
4 0.88 1.031369520781203e+00 4.168384734695968e-10 3.824966401339872e-10 4.980418922125242e-01 4.980418922125242e-01 5.035719668446045e+01 3.202787767704795e-04 -1.297816013073117e-01 5.662461675665494e-01 5.657898817978839e-01
4 0.89 1.031355949995064e+00 4.255560932127687e-10 3.776922269397076e-10 4.980035095627363e-01 4.980035095627363e-01 5.035620808776628e+01 3.176647211729936e-04 -1.284083662718341e-01 5.667186659403133e-01 5.662630928379742e-01
4 0.9 1.031341758549033e+00 4.340075481324319e-10 3.727142945324395e-10 4.979647859978539e-01 4.979647859978539e-01 5.035515544043226e+01 3.151069095810514e-04 -1.272156790229806e-01 5.671872378381050e-01 5.667323772493389e-01
4 0.91 1.031326993976038e+00 4.421759583276519e-10 3.675600406408343e-10 4.979257257670394e-01 4.979257257670394e-01 5.035404394203342e+01 3.125993827651874e-04 -1.261759500391065e-01 5.676524051158149e-01 5.671982577031949e-01
4 0.92 1.031311697107146e+00 4.500434880300209e-10 3.622276368655656e-10 4.978863326192923e-01 4.978863326192923e-01 5.035287805789054e+01 3.101372062432388e-04 -1.252658393318945e-01 5.681146101171911e-01 5.676611771735035e-01
4 0.93 1.031295903029853e+00 4.575915152261483e-10 3.567160117444600e-10 4.978466098816700e-01 4.978466098816700e-01 5.035166162397710e+01 3.077162862748344e-04 -1.244655977385582e-01 5.685742278502582e-01 5.681215111468089e-01
4 0.94 1.031279641909157e+00 4.648007893508965e-10 3.510248321857886e-10 4.978065605253488e-01 4.978065605253488e-01 5.035039793681757e+01 3.053332206299798e-04 -1.237585113019395e-01 5.690315762897172e-01 5.685795779528110e-01
4 0.95 1.031262939690515e+00 4.716514503918429e-10 3.451544177934204e-10 4.977661872212098e-01 4.977661872212098e-01 5.034908983046717e+01 3.029851769473523e-04 -1.231304323798209e-01 5.694869250959407e-01 5.690356475070775e-01
4 0.96 1.031245818700850e+00 4.781232572235758e-10 3.391055441670624e-10 4.977254923722005e-01 4.977254923722005e-01 5.034773974252857e+01 3.006697999914874e-04 -1.225693929368325e-01 5.699405030268966e-01 5.694899487389206e-01
4 0.97 1.031228298218320e+00 4.841936494314767e-10 3.328799402250865e-10 4.976844784250418e-01 4.976844784250418e-01 5.034634977299329e+01 2.983851227189743e-04 -1.220652466044558e-01 5.703925041356100e-01 5.699426758158480e-01
4 0.98 1.031210394829026e+00 4.898410932735623e-10 3.264769578507803e-10 4.976431475294121e-01 4.976431475294121e-01 5.034492172822171e+01 2.961294930405690e-04 -1.216093861300458e-01 5.708430930129973e-01 5.703939934014385e-01
4 0.99 1.031192122668827e+00 4.950387378080419e-10 3.198928566457361e-10 4.976015008997569e-01 4.976015008997569e-01 5.034345715618072e+01 2.939015301730839e-04 -1.211945251375273e-01 5.712924092926698e-01 5.708440411672207e-01
