# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
20 0.625 -0.1370496062845413254 13.48398579926565688 -6.787195376212915121e-13 -0.0001510562511335928151 -8.736844278166557847e-06 -5.022857562172959597e-12
21 0.65625 -0.1370555565005375509 13.48398545839851437 -8.724932389654690009e-13 -0.0001904069118789860639 -1.09077485885350769e-05 -6.200758443013678832e-12
22 0.6875 -0.137062960166633302 13.48398503597409892 -1.109213482273308313e-12 -0.0002369173150643235704 -1.35175813213247019e-05 -7.575047785850859599e-12
23 0.71875 -0.1370720659541221353 13.4839845163950951 -1.395640073068469395e-12 -0.0002913851996425191669 -1.662652811032431079e-05 -9.165650905445156237e-12
24 0.75 -0.1370831480229877386 13.48398388212318899 -1.739166769642085112e-12 -0.0003546262036988628201 -2.029670099186403279e-05 -1.099285429035570456e-11
25 0.78125 -0.1370965062252486877 13.48398311366481472 -2.147809808184076714e-12 -0.000427462472350119665 -2.459066796178124053e-05 -1.307657723334373127e-11
26 0.8125 -0.1371124658906983929 13.4839821896101455 -2.630172169421782264e-12 -0.0005107092943902870287 -2.956974939209232024e-05 -1.54355955596065776e-11
27 0.84375 -0.1371313771337141219 13.48398108673272766 -3.195385940526628271e-12 -0.0006051597765028909285 -3.529207739301847387e-05 -1.808684067535507545e-11
28 0.875 -0.137153613622250814 13.48397978015793797 -3.853036973006951308e-12 -0.0007115676331743512467 -4.181039325309640202e-05 -2.104483303937034043e-11
29 0.90625 -0.1371795707559235744 13.48397824360882424 -4.613074617325977367e-12 -0.0008306282775284566265 -4.916957162526198647e-05 -2.432120461820884359e-11
30 0.9375 -0.1372096632101842129 13.48397644973684173 -5.485707651440229604e-12 -0.0009629585363406678198 -5.740390342803362844e-05 -2.792425709165606836e-11
31 0.96875 -0.1372443218185447344 13.48397437054223147 -6.481284858405767378e-12 -0.001109075467536376315 -6.65342275079311516e-05 -3.185847062289719583e-11
32 1 -0.1372839897846295232 13.48397197788416157 -7.610158467256815889e-12 -0.001269374914713103418 -7.656505826202454135e-05 -3.612395548323355236e-11
33 1.03125 -0.1373291182401294996 13.48396924407471609 -8.882529575637767435e-12 -0.001444110575999583718 -8.748190223176020722e-05 -4.071587546819043654e-11
34 1.0625 -0.1373801611926611377 13.48396614254387238 -1.03082771723813184e-11 -0.001633374481012370713 -9.924898697331978597e-05 -4.56239230957936116e-11
35 1.09375 -0.1374375699379189741 13.48396264855513138 -1.189677571486094964e-11 -0.001837079848250363755 -0.0001118076396894046457 -5.083195335934820602e-11
36 1.125 -0.1375017870418435151 13.48395873994417293 -1.365670746722108814e-11 -0.002054947325585119305 -0.0001250755506667455103 -5.631781607552440605e-11
37 1.15625 -0.1375732400290332336 13.48395439784620287 -1.55958782897858173e-11 -0.002286495590071103024 -0.000138947135025048376 -6.205346632207132023e-11
38 1.1875 -0.1376523349413767416 13.48394960737241277 -1.772104561512800955e-11 -0.002531037194992322072 -0.0001532951612891683159 -6.800535441095020376e-11
39 1.21875 -0.1377394499539317252 13.4839443581929519 -2.00377669769254087e-11 -0.002787680401759589418 -0.0001679737427406939262 -7.413508357751676006e-11
40 1.25 -0.1378349292516873326 13.48393864498399708 -2.255027675222702109e-11 -0.003055337528178999652 -0.0001828226865346195106 -8.040031280965158332e-11
41 1.28125 -0.1379390773796735359 13.48393246770051412 -2.526139610446735041e-11 -0.003332740095558932997 -0.0001976730714783227617 -8.675581927169056404e-11
42 1.3125 -0.13805215427913195 13.4839258316445445 -2.817247948047102955e-11 -0.003618460782669450076 -0.0002123537910075928457 -9.315466803211773267e-11
43 1.34375 -0.1381743712138753799 13.48391874731102469 -3.128339662023639553e-11 -0.00391094191179018006 -0.0002266986726496169995 -9.954934847249169842e-11
44 1.375 -0.1383058877735553471 13.48391123000817338 -3.4592548755177614e-11 -0.004208529909759016301 -0.0002405536912345130815 -1.058928683181189781e-10
45 1.40625 -0.1384468101141613228 13.4839032992660055 -3.80969166345044499e-11 -0.004509514899390927242 -0.0002537837493823220307 -1.121397721384586843e-10
46 1.4375 -0.1385971905599750476 13.48389497806237891 -4.179214038331202525e-11 -0.004812174266039125417 -0.0002662785160667538388 -1.182471599618424112e-10
47 1.46875 -0.138757028644227981 13.48388629190950816 -4.567263566835906394e-11 -0.005114818696093581356 -0.0002779568918481410125 -1.241758491215051863e-10
48 1.5 -0.1389262736071571747 13.48387726785335516 -4.973174968359349722e-11 -0.005415838813733834731 -0.0002887697969121916989 -1.298916484875019683e-10
49 1.53125 -0.1391048283013740228 13.48386793344281465 -5.396195558867575999e-11 -0.005713750214939376272 -0.0002987011373193685076 -1.353665889626323312e-10
50 1.5625 -0.1392925543803742172 13.48385831572487703 -5.835507078057573502e-11 -0.006007234528006419154 -0.0003077669740316260334 -1.405796861407993562e-10
51 1.59375 -0.1394892785754478504 13.48384844031627594 -6.290246843777689968e-11 -0.006295174242356526943 -0.0003160130752571791487 -1.455167250304370881e-10
52 1.625 -0.1396947998102392452 13.48383833059280512 -6.759524431529643302e-11 -0.006576679513324680711 -0.0003235111510604582637 -1.501688280806251962e-10
53 1.65625 -0.1399088968701971136 13.48382800702605522 -7.242430797580893422e-11 -0.006851105918652122817 -0.0003303541360233946305 -1.545300371363998572e-10
54 1.6875 -0.1401313363391586686 13.48381748668618485 -7.738039586263989104e-11 -0.007118063006769773104 -0.0003366508758503671916 -1.5859481237859067e-10
55 1.71875 -0.1403618805338723852 13.48380678291965928 -8.245404660484342692e-11 -0.007377414230839160827 -0.0003425205287915745675 -1.623568237505130448e-10
56 1.75 -0.140600295196512376 13.4837959052041807 -8.763561081587757038e-11 -0.007629269204480119623 -0.000348086895298466766 -1.658100547530927716e-10
